issuer,full_name,symbol
Alfa Capital,Фонд акций Роста,ALFSGR
Alfa Capital,Индекс ММВБ,ALFMVB
Alfa Capital,Баланс,ALFBLN
Alfa Capital,Облигации Плюс,ALFBPL
Alfa Capital,Резерв,ALFRSR
Alfa Capital,Ликвидные акции,ALFLQS
Alfa Capital,Еврооблигации,ALFEUR
Alfa Capital,Ресурсы,ALFRES
Alfa Capital,Торговля,ALRTRD
Alfa Capital,Технологии,ALFTCH
Alfa Capital,Бренды,ALFBRN
Alfa Capital,Инфраструктура,ALFINF
Alfa Capital,Золото,ALFGLD
Alfa Capital,Альфа Капитал,ALFCPT
Raiffeisen Capital,Акции,RFSTCK
Raiffeisen Capital,Облигации,RFBOND
Raiffeisen Capital,Сбалансированный,RFBLNC
Raiffeisen Capital,США,RFUSA
Raiffeisen Capital,Потребительский сектор,RFCNSM
Raiffeisen Capital,Сырьевой сектор,RFSRCS
Raiffeisen Capital,Информационные технологии,RFIT
Raiffeisen Capital,Электроэнергетика,RFENRG
Raiffeisen Capital,Индекс ММВБ голубых фишек,RFMMVB
Raiffeisen Capital,Индустриальный,RFINDS
Raiffeisen Capital,Развивающиеся рынки,RFASIA
Raiffeisen Capital,Европа,RFBRIK
Raiffeisen Capital,Золото,RFGOLD
Raiffeisen Capital,Казначейский,RFTRSR
Raiffeisen Capital,Фонд активного управления,RFACT
Raiffeisen Capital,Долговые рынки развитых стран,RFEURO
Sberbank AM,Фонд облигаций «Илья Муромец»,SBERIM
Sberbank AM,Фонд рискованных облигаций,SBERRB
Sberbank AM,Еврооблигации,SBEREB
Sberbank AM,Фонд акций «Добрыня Никитич»,SBERDN
Sberbank AM,Фонд акций Компаний Малой Кап,SBERPT
Sberbank AM,Природные ресурсы,SBERMT
Sberbank AM,Телекоммуникации и технологии,SBERTC
Sberbank AM,Электроэнергетика,SBEREN
Sberbank AM,Потребительский сектор,SBERCS
Sberbank AM,Финансовый сектор,SBERFS
Sberbank AM,Фонд активного управления,SBERAM
Sberbank AM,Глобальный интернет,SBERGI
Sberbank AM,Фонд сбалансированный,SBERDR
Sberbank AM,Америка,SBERFD
Sberbank AM,Развивающиеся рынки,SBEREM
Sberbank AM,Европа,SBEREU
Sberbank AM,Глобальный долговой рынок,SBERDM
Sberbank AM,Золото,SBERGD
Sberbank AM,Биотехнологии,SBERBT
VTB Capital AM,Фонд Казначейский,VTBTRE
VTB Capital AM,Фонд Еврооблигаций,VTBEUR
VTB Capital AM,Фонд Сбалансированный,VTBBLN
VTB Capital AM,Фонд акций,VTBSTK
VTB Capital AM,Фонд перспективных инвестиций,VTBLTI
VTB Capital AM,Индекс ММВБ,VTBMVB
VTB Capital AM,Фонд глобальных дивидендов,VTBGD
VTB Capital AM,Фонд нефтегазового сектора,VTBONG
VTB Capital AM,Фонд Облигации Плюс,VTBBPL
VTB Capital AM,Фонд потребительского сектора,VTBCS
VTB Capital AM,Фонд предприятий с гос участием,VTBGOS
VTB Capital AM,Фонд телекоммуникаций,VTBTLC
VTB Capital AM,Фонд электроэнергетики,VTBENG
VTB Capital AM,Фонд Металлургии,VTBMTL
VTB Capital AM,БРИК,VTBBRC
VTB Capital AM,Фонд денежного рынка,VTBMM
VTB Capital AM,Фонд драгоценных металлов,VTBPM
VTB Capital AM,Площадь Победы,VTBPP
VTB Capital AM,Кузнецкий Мост,VTBKM
 